,filename,label
0,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00002314.JPEG,golf ball
1,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00003793.JPEG,golf ball
2,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00006468.JPEG,golf ball
3,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00007755.JPEG,golf ball
4,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00007947.JPEG,golf ball
5,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00008599.JPEG,golf ball
6,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00011983.JPEG,golf ball
7,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00012356.JPEG,golf ball
8,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00012634.JPEG,golf ball
9,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00013633.JPEG,golf ball
10,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00016748.JPEG,golf ball
11,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00017247.JPEG,golf ball
12,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00019268.JPEG,golf ball
13,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00023215.JPEG,golf ball
14,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00023845.JPEG,golf ball
15,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00024405.JPEG,golf ball
16,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00026194.JPEG,golf ball
17,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00030938.JPEG,golf ball
18,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031486.JPEG,golf ball
19,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031744.JPEG,golf ball
20,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031897.JPEG,golf ball
21,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031954.JPEG,golf ball
22,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035419.JPEG,golf ball
23,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035519.JPEG,golf ball
24,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035918.JPEG,golf ball
25,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00036187.JPEG,golf ball
26,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00036755.JPEG,golf ball
27,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00037369.JPEG,golf ball
28,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038005.JPEG,golf ball
29,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038447.JPEG,golf ball
30,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038768.JPEG,golf ball
31,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00040694.JPEG,golf ball
32,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00043745.JPEG,golf ball
33,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00044695.JPEG,golf ball
34,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00044936.JPEG,golf ball
35,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00046468.JPEG,golf ball
36,E:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00048517.JPEG,golf ball
37,E:\data-version-control\data\raw\train\n03445777\n03445777_10008.JPEG,golf ball
38,E:\data-version-control\data\raw\train\n03445777\n03445777_10027.JPEG,golf ball
39,E:\data-version-control\data\raw\train\n03445777\n03445777_10033.JPEG,golf ball
40,E:\data-version-control\data\raw\train\n03445777\n03445777_10039.JPEG,golf ball
41,E:\data-version-control\data\raw\train\n03445777\n03445777_10084.JPEG,golf ball
42,E:\data-version-control\data\raw\train\n03445777\n03445777_10106.JPEG,golf ball
43,E:\data-version-control\data\raw\train\n03445777\n03445777_10117.JPEG,golf ball
44,E:\data-version-control\data\raw\train\n03445777\n03445777_10127.JPEG,golf ball
45,E:\data-version-control\data\raw\train\n03445777\n03445777_10129.JPEG,golf ball
46,E:\data-version-control\data\raw\train\n03445777\n03445777_10167.JPEG,golf ball
47,E:\data-version-control\data\raw\train\n03445777\n03445777_10216.JPEG,golf ball
48,E:\data-version-control\data\raw\train\n03445777\n03445777_10235.JPEG,golf ball
49,E:\data-version-control\data\raw\train\n03445777\n03445777_10254.JPEG,golf ball
